         0.5     74.9561     1.57004
         0.6     42.9349     1.05819
        0.65     32.8275    0.761832
         0.7      24.311     0.61186
        0.75     19.4948    0.423109
         0.8     15.1057    0.306009
        0.85     12.0769    0.206462
         0.9     10.1833    0.168293
           1     7.32477    0.101794
         1.1     5.59337   0.0699413
         1.2     4.41728   0.0363526
         1.3     3.60707   0.0254993
         1.4     2.98312    0.020317
         1.5     2.52163   0.0144219
         1.6     2.18429   0.0106295
         1.7     1.89811   0.0111855
         1.8     1.67821  0.00930061
         1.9     1.49373   0.0073289
           2     1.34476   0.0054667
        
