         0.5     78.4212     1.03605
         0.6     43.8939    0.899485
        0.65     32.7768    0.708164
         0.7     24.4413    0.441285
        0.75     19.4824    0.354602
         0.8     15.4786     0.19283
        0.85     12.2492    0.124538
         0.9     10.3529    0.127094
           1     7.47541   0.0582341
         1.1     5.60818   0.0470695
         1.2     4.42061   0.0351674
         1.3     3.55719   0.0272189
         1.4     2.93438   0.0193029
         1.5     2.52818   0.0195056
         1.6     2.18609    0.010798
         1.7     1.88443   0.0100262
         1.8     1.67875   0.0107728
         1.9     1.50705  0.00829282
           2     1.35122  0.00724681
        
