         0.5    0.331321  0.00846952
         0.6    0.423603  0.00631524
        0.65    0.435076  0.00442223
         0.7    0.431683  0.00418201
        0.75    0.445241  0.00501162
         0.8    0.448082  0.00347174
        0.85    0.442015  0.00342762
         0.9    0.437703  0.00353901
           1    0.418877  0.00255782
         1.1    0.395843  0.00222274
         1.2    0.366443   0.0017742
         1.3    0.344627  0.00124562
         1.4    0.315894  0.00118169
         1.5    0.293545  0.00126101
         1.6    0.270008 0.000790268
         1.7    0.247388 0.000727865
         1.8    0.229135 0.000497714
         1.9    0.212861 0.000971257
           2    0.197807 0.000710915
       
