         0.5      89.223    0.900581
         0.6     57.0376    0.974036
        0.65      42.779    0.677024
         0.7     32.7571    0.499431
        0.75       24.23    0.399793
         0.8     19.1394    0.405359
        0.85     14.6681    0.174037
         0.9     11.8025    0.173523
           1     8.19823   0.0890414
         1.1     6.06555   0.0735665
         1.2     4.67143   0.0371859
         1.3     3.77308    0.029002
         1.4     3.09365   0.0180192
         1.5     2.60172   0.0189734
         1.6     2.23609   0.0147474
         1.7     1.93511   0.0109609
         1.8     1.70453  0.00937478
         1.9     1.52036   0.0077723
           2     1.36448  0.00610812
