         0.5    0.105548   0.0638994
         0.6   0.0150318   0.0346562
        0.65   0.0052156   0.0180761
         0.7   0.0102778   0.0157169
        0.75   0.0195288  0.00983143
         0.8  -0.0073528   0.0101045
        0.85   -0.005501  0.00699112
         0.9   0.0107752  0.00635737
           1   0.0004314  0.00516538
         1.1   0.0018304  0.00279485
         1.2  -0.0043448  0.00266798
         1.3  -0.0008918  0.00243052
         1.4   -0.001024  0.00304065
         1.5  -0.0027394  0.00159861
         1.6      -7e-05  0.00149734
         1.7   0.0004586  0.00143915
         1.8   0.0006192  0.00108869
         1.9   0.0010976  0.00164189
           2   0.0001394  0.00131398
        
