         0.5     89.2306     0.72952
	0.6     55.4703     0.89178
	 0.65     41.4016    0.616075
         0.7     32.6776    0.439954
	0.75     24.6631    0.469906
	  0.8     18.5895    0.267519
        0.85     14.6617    0.183804
         0.9     12.0126    0.157595
	   1     8.18224    0.104521
         1.1     6.08227   0.0708306
	1.2     4.61439   0.0440473
         1.3     3.75068   0.0304848
	1.4     3.08605    0.024683
         1.5     2.63284   0.0149467
	 1.6     2.21417   0.0122077
         1.7     1.95063   0.0136818
	  1.8     1.71119   0.0101427
         1.9     1.53459   0.0068848
           2     1.37524  0.00487927
        
         
         
        
       
         
       
       
        

