         0.5   0.0258382   0.0999101
         0.6   0.0272938   0.0477695
        0.65   0.0411064   0.0292851
         0.7   0.0374606   0.0206529
        0.75    0.000917   0.0136066
         0.8   0.0086272   0.0120623
        0.85   -0.003817   0.0111752
         0.9  -0.0006602  0.00940277
           1  -0.0039736  0.00636853
         1.1  -0.0035108  0.00455487
         1.2   -0.005928  0.00395054
         1.3  -0.0048948  0.00314275
         1.4   -0.000955  0.00248504
         1.5  -0.0020596  0.00251216
         1.6  -0.0020956  0.00192197
         1.7  -0.0015558  0.00216535
         1.8  -0.0020874  0.00182677
         1.9  -0.0013772  0.00176749
           2  -0.0007328  0.00168431
         
